                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.2453,                 1.1428,                 1.4878,                0.87482,                0.83546,                0.90389,                0.59948,                 1.1881,                0.77481,                 1.4678,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.2183,                 1.1078,                 1.4706,                0.87542,                0.83793,                0.90473,                0.60041,                 1.1866,                 0.7732,                 1.4662,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.2355,                 1.1437,                 1.4849,                  0.874,                0.84007,                0.90524,                0.60115,                 1.1849,                0.77226,                 1.4646,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.2452,                 1.1488,                 1.4946,                0.87729,                 0.8398,                0.90542,                0.60167,                 1.1838,                0.77106,                 1.4634,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.2441,                 1.1553,                 1.4956,                0.87877,                0.83992,                0.90614,                0.60229,                 1.1827,                0.76904,                 1.4625,               0.009307,               0.009307,               0.009307
                     73,                 1.2432,                 1.1404,                 1.4883,                0.87912,                0.84068,                0.90637,                0.60301,                 1.1817,                0.76722,                 1.4616,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.2496,                 1.1517,                 1.4953,                0.87846,                0.84125,                0.90663,                0.60403,                 1.1801,                0.76602,                 1.4604,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.2445,                 1.1383,                 1.4873,                0.87817,                0.84271,                0.90713,                0.60456,                 1.1784,                0.76459,                 1.4588,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.2446,                 1.1532,                 1.4936,                0.87816,                 0.8414,                0.90687,                0.60519,                 1.1773,                0.76314,                 1.4578,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.2436,                 1.1466,                 1.4925,                0.87875,                0.84239,                0.90791,                0.60568,                 1.1762,                0.76123,                 1.4567,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.2363,                 1.1344,                 1.4824,                 0.8786,                0.84164,                0.90802,                0.60628,                  1.175,                0.75947,                 1.4554,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.2343,                 1.1405,                 1.4832,                0.88223,                0.83981,                0.90844,                0.60729,                 1.1736,                0.75803,                  1.454,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.2377,                 1.1301,                 1.4857,                0.88197,                0.84075,                0.90878,                0.60843,                 1.1726,                0.75614,                 1.4527,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.2285,                 1.1234,                 1.4771,                0.88388,                0.83943,                0.90931,                0.60906,                 1.1716,                0.75438,                 1.4514,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.2292,                 1.1217,                 1.4766,                0.88105,                0.84167,                0.90927,                0.60946,                 1.1706,                0.75286,                 1.4501,               0.009208,               0.009208,               0.009208
                     83,                 1.2233,                 1.1123,                 1.4681,                0.87975,                0.84339,                0.90949,                0.61013,                 1.1695,                0.75098,                 1.4488,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.2229,                 1.1035,                 1.4667,                 0.8794,                0.84472,                0.91014,                0.61125,                 1.1683,                0.74878,                 1.4476,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.2144,                 1.1123,                 1.4688,                0.88057,                0.84575,                 0.9104,                0.61218,                 1.1671,                0.74679,                 1.4462,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.2227,                 1.1202,                 1.4724,                0.88179,                0.84546,                0.91048,                0.61252,                 1.1661,                0.74473,                 1.4448,              0.0091684,              0.0091684,              0.0091684
