                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0886,                0.89947,                 1.3608,                0.92434,                0.91485,                0.96115,                0.71453,                0.96418,                 0.5395,                 1.2603,               0.009406,               0.009406,               0.009406
                     63,                  1.087,                0.90188,                 1.3561,                 0.9249,                0.91673,                0.96158,                 0.7165,                0.96041,                0.53711,                 1.2571,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.0792,                0.90058,                 1.3591,                0.92416,                0.91886,                0.96216,                0.71748,                0.95757,                0.53461,                 1.2546,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.0847,                0.89879,                 1.3615,                0.92293,                0.92117,                0.96283,                0.71874,                0.95414,                0.53326,                 1.2512,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.0728,                0.88497,                 1.3494,                0.92621,                0.92108,                0.96321,                0.72043,                 0.9509,                 0.5303,                 1.2482,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0708,                0.88793,                 1.3474,                 0.9262,                0.92235,                0.96346,                0.72116,                0.94798,                0.52788,                 1.2455,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.0732,                0.88699,                 1.3507,                0.92899,                 0.9228,                0.96404,                0.72288,                0.94557,                0.52488,                 1.2431,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.0655,                0.86915,                 1.3454,                0.92842,                0.92594,                0.96454,                0.72379,                0.94261,                0.52254,                 1.2405,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.0628,                0.87841,                 1.3433,                0.92976,                0.92571,                0.96481,                0.72546,                0.94035,                0.52018,                 1.2381,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.0609,                0.87075,                 1.3424,                0.92993,                 0.9265,                0.96499,                0.72675,                 0.9374,                 0.5179,                 1.2355,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.0558,                0.86326,                 1.3358,                0.92942,                0.92713,                0.96516,                0.72758,                0.93507,                0.51578,                 1.2333,               0.009307,               0.009307,               0.009307
                     73,                 1.0551,                0.86171,                 1.3355,                0.92997,                0.92697,                0.96552,                0.72891,                0.93234,                0.51387,                 1.2312,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.0541,                0.85469,                 1.3342,                0.93035,                0.92771,                0.96575,                0.73003,                0.92958,                0.51187,                 1.2288,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.0448,                0.85029,                  1.326,                0.93258,                0.92764,                0.96598,                0.73094,                0.92699,                0.50969,                 1.2263,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.0421,                0.84556,                 1.3229,                0.93226,                0.92833,                0.96601,                0.73143,                0.92437,                0.50761,                 1.2238,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.0406,                0.84344,                 1.3225,                0.93346,                0.92744,                0.96623,                0.73258,                0.92191,                0.50534,                 1.2215,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.0402,                0.84685,                 1.3235,                0.93456,                  0.927,                0.96652,                0.73378,                0.91943,                0.50307,                 1.2189,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.0433,                0.84239,                 1.3222,                0.93578,                0.92709,                0.96678,                0.73448,                0.91696,                0.50115,                 1.2165,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.0316,                0.83667,                 1.3154,                0.93589,                0.92774,                0.96733,                0.73628,                0.91466,                0.49958,                 1.2144,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.0359,                0.83459,                 1.3184,                0.93642,                0.92843,                0.96745,                0.73739,                0.91243,                0.49796,                 1.2124,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.0299,                0.83499,                 1.3132,                0.93685,                 0.9298,                0.96786,                 0.7386,                0.91018,                0.49637,                 1.2103,               0.009208,               0.009208,               0.009208
                     83,                 1.0283,                0.82274,                 1.3083,                0.93545,                0.93108,                0.96825,                0.73963,                0.90817,                0.49458,                 1.2082,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.0286,                0.81984,                 1.3081,                0.93559,                0.93136,                 0.9684,                0.74036,                0.90629,                0.49274,                 1.2064,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.0221,                0.81992,                 1.3069,                0.93676,                0.93241,                0.96868,                0.74136,                0.90412,                0.49074,                 1.2044,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.0213,                0.81512,                  1.303,                 0.9381,                0.93258,                0.96891,                0.74216,                0.90203,                 0.4891,                 1.2024,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.0094,                0.81751,                 1.3018,                0.93762,                0.93253,                0.96904,                0.74305,                0.89957,                0.48786,                 1.2002,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.0168,                0.81247,                  1.303,                0.93848,                0.93231,                0.96929,                0.74384,                0.89746,                0.48617,                 1.1983,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.0096,                0.81234,                 1.3009,                0.93871,                0.93241,                0.96951,                0.74489,                0.89496,                0.48463,                  1.196,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.0119,                0.81532,                 1.3015,                0.94012,                0.93179,                0.96956,                0.74579,                0.89292,                0.48258,                 1.1944,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.0043,                0.80837,                 1.2942,                0.94133,                0.93078,                0.96956,                0.74651,                0.89056,                0.48094,                 1.1925,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.0054,                0.80419,                 1.2928,                0.94123,                0.93005,                0.96937,                0.74706,                0.88803,                0.47942,                 1.1905,               0.009109,               0.009109,               0.009109
                     93,                 1.0063,                0.80136,                 1.2922,                0.94109,                0.93086,                0.96974,                0.74802,                0.88582,                0.47801,                 1.1884,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.0044,                0.79522,                 1.2896,                0.94087,                0.93196,                0.96979,                0.74924,                0.88331,                0.47623,                 1.1862,              0.0090892,              0.0090892,              0.0090892
                     95,                0.99929,                0.79119,                 1.2889,                0.94091,                 0.9327,                0.96979,                0.74967,                0.88113,                 0.4749,                 1.1841,              0.0090793,              0.0090793,              0.0090793
                     96,                0.99959,                0.79003,                 1.2866,                0.94139,                 0.9344,                 0.9701,                0.75029,                0.87884,                0.47353,                 1.1822,              0.0090694,              0.0090694,              0.0090694
                     97,                0.99506,                0.78761,                 1.2838,                0.94157,                0.93334,                0.97004,                0.75165,                0.87694,                0.47225,                 1.1801,              0.0090595,              0.0090595,              0.0090595
                     98,                0.99754,                0.79675,                 1.2889,                0.94087,                0.93469,                0.97058,                0.75253,                0.87477,                0.47096,                 1.1782,              0.0090496,              0.0090496,              0.0090496
                     99,                0.99206,                0.79031,                 1.2824,                0.94142,                0.93431,                 0.9706,                0.75402,                0.87252,                0.46954,                 1.1762,              0.0090397,              0.0090397,              0.0090397
                    100,                0.99965,                0.79183,                  1.284,                0.94101,                0.93438,                0.97086,                0.75498,                0.87028,                0.46794,                 1.1741,              0.0090298,              0.0090298,              0.0090298
                    101,                0.99187,                0.78754,                 1.2807,                0.94094,                0.93544,                0.97121,                 0.7558,                0.86829,                0.46648,                 1.1721,              0.0090199,              0.0090199,              0.0090199
